,AAPL,FB,MSFT,GOOGL
03-04,120.13,257.64,226.73,2033.93
03-05,121.42,264.28,231.6,2097.07
03-08,116.36,255.31,227.39,2007.5
03-09,121.09,265.74,233.78,2040.36
03-10,119.98,264.9,232.42,2036.19
03-11,121.96,273.88,237.13,2100.54
03-12,121.03,268.4,235.75,2050.0
03-15,123.99,273.75,234.81,2054.44
03-16,125.57,279.28,237.71,2083.89
03-17,124.76,284.01,237.04,2082.22
03-18,120.53,278.62,230.72,2021.34
03-19,119.99,290.11,230.35,2026.96
03-22,123.39,293.54,235.99,2030.69
03-23,122.54,290.63,237.58,2041.33
03-24,120.09,282.14,235.46,2032.53
03-25,120.59,278.74,232.34,2032.46
03-26,121.21,283.02,236.48,2024.73
03-29,121.39,290.82,235.24,2045.79
03-30,119.9,288.0,231.85,2046.47
03-31,122.15,294.53,235.77,2062.52
04-01,123.0,298.66,242.35,2129.78
04-05,125.9,308.91,249.07,2218.96
04-06,126.21,306.26,247.86,2209.26
04-07,127.9,313.09,249.9,2239.03
04-08,130.36,313.02,253.25,2250.43
04-09,127.37739,291.8174,249.55879,2177.285
04-12,126.33142,298.96115,248.53972,2184.2932
04-13,127.75117,300.86673,246.71538,2172.3455
04-14,127.10447,305.78946,248.36734,2186.3062
04-15,126.752304,307.71805,245.85152,2200.4568
04-16,126.89231,305.7661,245.41238,2205.899
04-19,125.864944,301.5696,245.1057,2198.5134
04-20,124.05986,302.4845,246.3316,2213.0234
04-21,125.1484,302.40512,247.44083,2196.819
04-22,126.105865,304.47885,247.29541,2189.7803
